Species	Term Accession	Term	Object	RGD ID	Symbol	Name	Type	Qualifiers	Evidence	Chr	Start	Stop	Reference(s)	Source(s)	Original Reference(s)	Notes
Human	PW:0000122	Hedgehog signaling pathway	gene	1345874	DHH	desert hedgehog signaling molecule	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1345874" title="traceable author statement">TAS</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1345874" title="inferred from electronic annotation">IEA</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1345874" title="inferred from experiment">EXP</a>	12	49,086,656	49,094,801	KEGG, PID	RGD,KEGG,PID	 PMID:20716670 PMID:20844013	
Human	PW:0000122	Hedgehog signaling pathway	gene	1317002	DISP1	dispatched RND transporter family member 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1317002" title="traceable author statement">TAS</a>	 1	222,815,039	223,005,995		RGD	 PMID:20635334	
Human	PW:0000122	Hedgehog signaling pathway	gene	1319284	FBXW11	F-box and WD repeat domain containing 11	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1319284" title="inferred from experiment">EXP</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1319284" title="inferred from electronic annotation">IEA</a>	 5	171,861,549	172,006,638	PID, KEGG	PID,KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1605726	FOXA2	forkhead box A2	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1605726" title="inferred from experiment">EXP</a>	20	22,580,998	22,585,490	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1345993	GAS1	growth arrest specific 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1345993" title="traceable author statement">TAS</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1345993" title="inferred from electronic annotation">IEA</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1345993" title="inferred from experiment">EXP</a>	 9	86,944,362	86,947,506	KEGG, PID	RGD,KEGG,PID	 PMID:20844013	
Human	PW:0000122	Hedgehog signaling pathway	gene	1344225	GLI1	GLI family zinc finger 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1344225" title="traceable author statement">TAS</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1344225" title="inferred from electronic annotation">IEA</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1344225" title="inferred from experiment">EXP</a>	12	57,459,785	57,472,268	KEGG, PID	RGD,KEGG,PID	 PMID:20716670 PMID:20635334	
Human	PW:0000122	Hedgehog signaling pathway	gene	1606840	GLI2	GLI family zinc finger 2	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1606840" title="traceable author statement">TAS</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1606840" title="inferred from electronic annotation">IEA</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1606840" title="inferred from experiment">EXP</a>	 2	120,735,868	120,992,653	KEGG, PID	RGD,KEGG,PID	 PMID:20716670 PMID:20635334	
Human	PW:0000122	Hedgehog signaling pathway	gene	1314553	GLI3	GLI family zinc finger 3	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1314553" title="traceable author statement">TAS</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1314553" title="inferred from electronic annotation">IEA</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1314553" title="inferred from experiment">EXP</a>	 7	41,960,949	42,264,268	KEGG, PID	RGD,KEGG,PID	 PMID:20716670 PMID:20635334	
Human	PW:0000122	Hedgehog signaling pathway	gene	730824	GNAI1	G protein subunit alpha i1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=730824" title="inferred from experiment">EXP</a>	 7	80,134,831	80,226,181	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	730993	GNAI2	G protein subunit alpha i2	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=730993" title="inferred from experiment">EXP</a>	 3	50,227,068	50,263,358	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	731003	GNAI3	G protein subunit alpha i3	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=731003" title="inferred from experiment">EXP</a>	 1	109,548,615	109,600,195	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	731076	GNAO1	G protein subunit alpha o1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=731076" title="inferred from experiment">EXP</a>	16	56,191,489	56,357,444	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	733341	GNAZ	G protein subunit alpha z	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=733341" title="inferred from experiment">EXP</a>	22	23,070,519	23,125,032	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	732785	GNB1	G protein subunit beta 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=732785" title="inferred from experiment">EXP</a>	 1	1,785,286	1,891,087	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	736477	GNG2	G protein subunit gamma 2	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=736477" title="inferred from experiment">EXP</a>	14	51,826,174	51,969,795	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	730930	GPC1	glypican 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=730930" title="inferred from sequence orthology">ISO</a>	 2	240,435,663	240,468,076		RGD	 PMID:20231458	
Human	PW:0000122	Hedgehog signaling pathway	gene	731703	GPC2	glypican 2	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=731703" title="inferred from sequence orthology">ISO</a>	 7	100,169,606	100,177,381		RGD	 PMID:20231458	
Human	PW:0000122	Hedgehog signaling pathway	gene	737615	GPC3	glypican 3	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=737615" title="inferred from sequence orthology">ISO</a>	  X	133,535,745	133,985,594		RGD	 PMID:20231458	
Human	PW:0000122	Hedgehog signaling pathway	gene	1347282	GPC4	glypican 4	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1347282" title="inferred from sequence orthology">ISO</a>	  X	133,300,103	133,415,489		RGD	 PMID:20231458	
Human	PW:0000122	Hedgehog signaling pathway	gene	1318835	GPC5	glypican 5	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1318835" title="inferred from mutant phenotype">IMP</a>	13	91,398,621	92,867,237		RGD	 PMID:20231458	
Human	PW:0000122	Hedgehog signaling pathway	gene	1352914	GPC6	glypican 6	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1352914" title="inferred from sequence orthology">ISO</a>	13	93,216,529	94,408,020		RGD	 PMID:20231458	
Human	PW:0000122	Hedgehog signaling pathway	gene	731036	GRK2	G protein-coupled receptor kinase 2	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=731036" title="inferred from experiment">EXP</a>	11	67,266,473	67,286,556	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	733891	GSK3B	glycogen synthase kinase 3 beta	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=733891" title="traceable author statement">TAS</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=733891" title="inferred from electronic annotation">IEA</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=733891" title="inferred from experiment">EXP</a>	 3	119,821,321	120,094,447	KEGG, PID	RGD,KEGG,PID	 PMID:20635334	
Human	PW:0000122	Hedgehog signaling pathway	gene	1320330	HDAC1	histone deacetylase 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1320330" title="inferred from experiment">EXP</a>	 1	32,292,083	32,333,626	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1312509	HDAC2	histone deacetylase 2	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1312509" title="inferred from experiment">EXP</a>	 6	113,933,028	113,971,148	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1351064	HHAT	hedgehog acyltransferase	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1351064" title="traceable author statement">TAS</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1351064" title="inferred from experiment">EXP</a>	 1	210,327,328	210,676,290	PID	RGD,PID	 PMID:20716670	
Human	PW:0000122	Hedgehog signaling pathway	gene	1354359	HHIP	hedgehog interacting protein	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1354359" title="traceable author statement">TAS</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1354359" title="inferred from electronic annotation">IEA</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1354359" title="inferred from experiment">EXP</a>	 4	144,646,156	144,745,271	KEGG, PID	RGD,KEGG,PID	 PMID:20844013	
Human	PW:0000122	Hedgehog signaling pathway	gene	1351428	HSPG2	heparan sulfate proteoglycan 2	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1351428" title="inferred from sequence orthology">ISO</a>	 1	21,822,244	21,937,310		RGD	 PMID:21720682	
Human	PW:0000122	Hedgehog signaling pathway	gene	731569	IFT172	intraflagellar transport 172	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=731569" title="inferred from experiment">EXP</a>	 2	27,444,377	27,489,743	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1320207	IFT88	intraflagellar transport 88	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1320207" title="inferred from experiment">EXP</a>	13	20,567,157	20,691,444	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1350368	IHH	Indian hedgehog signaling molecule	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1350368" title="traceable author statement">TAS</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1350368" title="inferred from sequence orthology">ISO</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1350368" title="inferred from electronic annotation">IEA</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1350368" title="inferred from experiment">EXP</a>	 2	219,054,424	219,060,921	KEGG, PID	RGD,KEGG,PID	 PMID:20716670 PMID:12082161 PMID:20844013	
Human	PW:0000122	Hedgehog signaling pathway	gene	1352051	KIF3A	kinesin family member 3A	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1352051" title="inferred from experiment">EXP</a>	 5	132,688,812	132,737,546	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	736304	LGALS3	galectin 3	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=736304" title="inferred from experiment">EXP</a>	14	55,129,252	55,145,430	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	68599	LRP2	LDL receptor related protein 2	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=68599" title="traceable author statement">TAS</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=68599" title="inferred from electronic annotation">IEA</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=68599" title="inferred from experiment">EXP</a>	 2	169,127,109	169,362,534	KEGG, PID	RGD,KEGG,PID	 PMID:20635334	
Human	PW:0000122	Hedgehog signaling pathway	gene	1354477	LRPAP1	LDL receptor related protein associated protein 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1354477" title="inferred from experiment">EXP</a>	 4	3,503,612	3,532,422	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	732023	MAP2K1	mitogen-activated protein kinase kinase 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=732023" title="inferred from experiment">EXP</a>	15	66,386,912	66,491,544	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1320466	MTSS1	MTSS I-BAR domain containing 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1320466" title="inferred from experiment">EXP</a>	 8	124,550,784	124,728,473	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1317273	PIAS1	protein inhibitor of activated STAT 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1317273" title="inferred from experiment">EXP</a>	15	68,054,315	68,193,847	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1352691	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1352691" title="inferred from experiment">EXP</a>	 3	179,148,126	179,240,093	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	731958	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=731958" title="inferred from experiment">EXP</a>	 5	68,215,756	68,301,821	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1344608	PRKACA	protein kinase cAMP-activated catalytic subunit alpha	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1344608" title="inferred from experiment">EXP</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1344608" title="inferred from electronic annotation">IEA</a>	19	14,091,688	14,117,762	PID, KEGG	PID,KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1321558	PRKACB	protein kinase cAMP-activated catalytic subunit beta	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1321558" title="inferred from electronic annotation">IEA</a>	 1	84,078,079	84,238,498	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1345258	PRKACG	protein kinase cAMP-activated catalytic subunit gamma	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1345258" title="inferred from electronic annotation">IEA</a>	 9	69,012,504	69,014,113	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	69026	PRKCD	protein kinase C delta	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=69026" title="inferred from experiment">EXP</a>	 3	53,161,209	53,192,717	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1353983	PRKX	protein kinase cAMP-dependent X-linked catalytic subunit	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1353983" title="inferred from electronic annotation">IEA</a>	  X	3,604,340	3,713,649	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1319156	PTCH1	patched 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1319156" title="traceable author statement">TAS</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1319156" title="inferred from electronic annotation">IEA</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1319156" title="inferred from experiment">EXP</a>	 9	95,442,980	95,516,971	KEGG, PID	RGD,KEGG,PID	 PMID:20716670 PMID:20635334	
Human	PW:0000122	Hedgehog signaling pathway	gene	1604843	PTCH2	patched 2	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1604843" title="traceable author statement">TAS</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1604843" title="inferred from electronic annotation">IEA</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1604843" title="inferred from experiment">EXP</a>	 1	44,819,845	44,843,253	KEGG, PID	RGD,KEGG,PID	 PMID:20716670 PMID:20635334	
Human	PW:0000122	Hedgehog signaling pathway	gene	736996	PTHLH	parathyroid hormone like hormone	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=736996" title="inferred from experiment">EXP</a>	12	27,958,084	27,972,733	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1315728	RAB23	RAB23, member RAS oncogene family	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1315728" title="inferred from experiment">EXP</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1315728" title="inferred from electronic annotation">IEA</a>	 6	57,186,992	57,222,307	PID, KEGG	PID,KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1323349	RBBP4	RB binding protein 4, chromatin remodeling factor	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1323349" title="inferred from experiment">EXP</a>	 1	32,651,208	32,686,211	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	732412	RBBP7	RB binding protein 7, chromatin remodeling factor	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=732412" title="inferred from experiment">EXP</a>	  X	16,844,341	16,870,362	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1321265	SAP18	Sin3A associated protein 18	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1321265" title="inferred from experiment">EXP</a>	13	21,140,119	21,149,097	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1354225	SAP30	Sin3A associated protein 30	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1354225" title="inferred from experiment">EXP</a>	 4	173,370,954	173,377,532	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	736829	SHH	sonic hedgehog signaling molecule	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=736829" title="traceable author statement">TAS</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=736829" title="inferred from sequence orthology">ISO</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=736829" title="inferred from electronic annotation">IEA</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=736829" title="inferred from experiment">EXP</a>	 7	155,799,980	155,812,463	KEGG, PID	RGD,KEGG,PID	 PMID:20716670 PMID:12417650 PMID:20844013	
Human	PW:0000122	Hedgehog signaling pathway	gene	1323140	SIN3A	SIN3 transcription regulator family member A	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1323140" title="inferred from experiment">EXP</a>	15	75,369,379	75,455,815	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1348412	SIN3B	SIN3 transcription regulator family member B	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1348412" title="inferred from experiment">EXP</a>	19	16,829,398	16,880,349	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	733306	SMO	smoothened, frizzled class receptor	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=733306" title="inferred from mutant phenotype">IMP</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=733306" title="inferred from electronic annotation">IEA</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=733306" title="inferred from experiment">EXP</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=733306" title="traceable author statement">TAS</a>	 7	129,188,633	129,213,545	KEGG, PID	RGD,KEGG,PID	 PMID:9422511 PMID:20635334 PMID:20716670	
Human	PW:0000122	Hedgehog signaling pathway	gene	1323163	SPOP	speckle type BTB/POZ protein	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1323163" title="inferred from experiment">EXP</a>	17	49,598,884	49,678,163	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1604386	SSPOP	SCO-spondin, pseudogene	pseudo		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1604386" title="inferred from experiment">EXP</a>	 7	149,776,042	149,833,965	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1312720	STIL	STIL centriolar assembly protein	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1312720" title="inferred from experiment">EXP</a>	 1	47,250,139	47,314,896	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1316442	STK36	serine/threonine kinase 36	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1316442" title="inferred from experiment">EXP</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1316442" title="inferred from electronic annotation">IEA</a>	 2	218,672,086	218,702,717	PID, KEGG	PID,KEGG	 	
