gene1,gene2,score,SHH_cor
CLU,SEC61G,0.411,FALSE
CLU,SOX2,0.461,FALSE
CLU,IGFBP3,0.598,FALSE
CLU,LTBP1,0.622,FALSE
CLU,FN1,0.802,FALSE
CNTN6,NTRK2,0.466,TRUE
CNTN6,ADGRL1,0.53,TRUE
COL11A1,SFRP1,0.539,FALSE
COL11A1,LAMC1,0.432,FALSE
COL11A1,CDH11,0.455,FALSE
COL11A1,HHIP,0.459,FALSE
COL11A1,COL1A2,0.992,FALSE
COL11A1,CRTAP,0.57,FALSE
COL11A1,FN1,0.511,FALSE
COL11A1,COL4A2,0.715,FALSE
COL11A1,COLGALT2,0.568,FALSE
COL11A1,FBN2,0.481,FALSE
COL11A1,COL25A1,0.505,FALSE
COL11A1,SERPINH1,0.673,FALSE
COL11A1,COL2A1,0.976,FALSE
COL1A2,ITGB8,0.723,FALSE
COL1A2,BMP4,0.45,FALSE
COL1A2,SERPINF1,0.669,FALSE
COL1A2,LAMC1,0.701,FALSE
COL1A2,NMU,0.402,FALSE
COL1A2,FGF2,0.444,FALSE
COL1A2,ITGA9,0.705,FALSE
COL1A2,CDH11,0.693,FALSE
COL1A2,SEC24D,0.446,FALSE
COL1A2,GJA1,0.476,FALSE
COL1A2,WNT1,0.45,FALSE
COL1A2,ITGB5,0.791,FALSE
COL1A2,MYO16,0.401,FALSE
COL1A2,PALLD,0.411,FALSE
COL1A2,PRRX2,0.414,FALSE
COL1A2,CTNNB1,0.429,FALSE
COL1A2,LPAR1,0.443,FALSE
COL1A2,MYLK,0.462,FALSE
COL1A2,IGFBP3,0.468,FALSE
COL1A2,FGFR3,0.508,FALSE
COL1A2,FBN2,0.516,FALSE
COL1A2,COL25A1,0.532,FALSE
COL1A2,COLGALT2,0.575,FALSE
COL1A2,LTBP1,0.606,FALSE
COL1A2,ITGA6,0.751,FALSE
COL1A2,COL4A2,0.786,FALSE
COL1A2,SERPINH1,0.879,FALSE
COL1A2,COL2A1,0.883,FALSE
COL1A2,CRTAP,0.964,FALSE
COL1A2,FN1,0.982,FALSE
COL1A2,COL11A1,0.992,FALSE
COL25A1,COL1A2,0.532,FALSE
COL25A1,CRTAP,0.503,FALSE
COL25A1,COL4A2,0.562,FALSE
COL25A1,COLGALT2,0.629,FALSE
COL25A1,COL11A1,0.505,FALSE
COL25A1,COL2A1,0.525,FALSE
COL25A1,SERPINH1,0.563,FALSE
COL2A1,ITGB8,0.699,FALSE
COL2A1,BMP4,0.531,FALSE
COL2A1,FGF2,0.477,FALSE
COL2A1,ITGA9,0.702,FALSE
COL2A1,FRZB,0.444,FALSE
COL2A1,ITGB5,0.696,FALSE
COL2A1,COL1A2,0.883,FALSE
COL2A1,CRTAP,0.652,FALSE
COL2A1,FGFR3,0.775,FALSE
COL2A1,FN1,0.456,FALSE
COL2A1,COL4A2,0.66,FALSE
COL2A1,COLGALT2,0.798,FALSE
COL2A1,NES,0.551,FALSE
COL2A1,COL11A1,0.976,FALSE
COL2A1,FBN2,0.435,FALSE
COL2A1,CALM1,0.44,FALSE
COL2A1,CTNNB1,0.48,FALSE
COL2A1,BMP7,0.514,FALSE
COL2A1,COL25A1,0.525,FALSE
COL2A1,ITGA6,0.713,FALSE
COL2A1,SERPINH1,0.791,FALSE
COL4A2,ITGB8,0.798,FALSE
COL4A2,LAMC1,0.814,FALSE
COL4A2,ITGA9,0.74,FALSE
COL4A2,ITGB5,0.857,FALSE
COL4A2,COL1A2,0.786,FALSE
COL4A2,CRTAP,0.583,FALSE
COL4A2,FN1,0.75,FALSE
COL4A2,GLI3,0.404,FALSE
COL4A2,ATP2C2,0.412,FALSE
COL4A2,BMP7,0.519,FALSE
COL4A2,COL25A1,0.562,FALSE
COL4A2,COL2A1,0.66,FALSE
COL4A2,COL11A1,0.715,FALSE
COL4A2,ITGA6,0.769,FALSE
COL4A2,COLGALT2,0.832,FALSE
COL4A2,SERPINH1,0.88,FALSE
COLGALT2,COL1A2,0.575,FALSE
COLGALT2,COL4A2,0.832,FALSE
COLGALT2,COL11A1,0.568,FALSE
COLGALT2,COL25A1,0.629,FALSE
COLGALT2,COL2A1,0.798,FALSE
COPB2,LMAN1,0.739,FALSE
COPB2,KDELR2,0.717,FALSE
COPB2,MAN2A1,0.859,FALSE
COPB2,ARCN1,0.999,FALSE
COPB2,SEC24D,0.486,FALSE
COPB2,ARF4,0.807,FALSE
COPB2,RAB1A,0.683,FALSE
COPB2,SURF4,0.702,FALSE
COPB2,ARF1,0.818,FALSE
CRTAP,SERPINF1,0.748,FALSE
CRTAP,SEC24D,0.707,FALSE
CRTAP,WNT1,0.603,FALSE
CRTAP,COL1A2,0.964,FALSE
CRTAP,FGFR3,0.412,FALSE
CRTAP,COL25A1,0.503,FALSE
CRTAP,COL11A1,0.57,FALSE
CRTAP,COL4A2,0.583,FALSE
CRTAP,COL2A1,0.652,FALSE
CRTAP,SERPINH1,0.9,FALSE
CTNNB1,EFNB1,0.585,NA
CTNNB1,VCL,0.997,NA
CTNNB1,SFRP1,0.874,NA
CTNNB1,GLI1,0.829,NA
CTNNB1,ID2,0.422,NA
CTNNB1,BMP4,0.809,NA
CTNNB1,FOXA1,0.676,NA
CTNNB1,LGALS3,0.865,NA
CTNNB1,JAG1,0.796,NA
CTNNB1,APC,0.999,NA
CTNNB1,USP2,0.585,NA
CTNNB1,FGF2,0.718,NA
CTNNB1,EGF,0.868,NA
CTNNB1,CDK6,0.752,NA
CTNNB1,SLIT1,0.583,NA
CTNNB1,NKD1,0.739,NA
CTNNB1,CDH11,0.993,NA
CTNNB1,LRIG1,0.462,NA
CTNNB1,NTRK2,0.431,NA
CTNNB1,GJA1,0.87,NA
CTNNB1,TIAM1,0.645,NA
CTNNB1,KPNB1,0.475,NA
CTNNB1,WNT1,0.973,NA
CTNNB1,FRZB,0.811,NA
CTNNB1,SHH,0.87,NA
CTNNB1,COL1A2,0.429,NA
CTNNB1,IRS1,0.686,NA
CTNNB1,CXCL10,0.4,NA
CTNNB1,CTNND2,0.751,NA
CTNNB1,FGF8,0.769,NA
CTNNB1,SOX2,0.991,NA
CTNNB1,SOX1,0.563,NA
CTNNB1,PTCH1,0.731,NA
CTNNB1,EPHA3,0.444,NA
CTNNB1,FOXG1,0.74,NA
CTNNB1,FOXO3,0.998,NA
CTNNB1,FGFR3,0.6,NA
CTNNB1,DLK1,0.454,NA
CTNNB1,PRICKLE1,0.514,NA
CTNNB1,ANXA2,0.428,NA
CTNNB1,WLS,0.591,NA
CTNNB1,FN1,0.85,NA
CTNNB1,NKX2-1,0.476,NA
CTNNB1,EPHA2,0.759,NA
CTNNB1,FZD5,0.797,NA
CTNNB1,RHOU,0.591,NA
CTNNB1,NES,0.626,NA
CTNNB1,EPHA7,0.555,NA
CTNNB1,BMPR2,0.463,NA
CTNNB1,FZD8,0.798,NA
CTNNB1,ZIC2,0.617,NA
CTNNB1,TLE4,0.935,NA
CTNNB1,CTNNBIP1,0.999,NA
CTNNB1,FTL,0.473,NA
CTNNB1,DSP,0.861,NA
CTNNB1,COL2A1,0.48,NA
CTNNB1,IGFBP3,0.431,NA
CTNNB1,CDON,0.677,NA
CTNNB1,BCL2L11,0.525,NA
CTNNB1,PTPRZ1,0.511,NA
CTNNB1,DAAM1,0.455,NA
CTNNB1,CLDN3,0.543,NA
CTNNB1,BMP7,0.723,NA
CTNNB1,GLI3,0.686,NA
CTNNB1,WNT5B,0.684,NA
CTNNB1,CUL4B,0.406,NA
CTNNB1,CDKN1A,0.625,NA
CTNNB1,HIPK2,0.41,NA
CTNNB1,ITGA6,0.542,NA
CTNNB1,GLI2,0.634,NA
CTNNB1,NLGN1,0.553,NA
CTNNB1,FOXA2,0.558,NA
CTNNB1,SP8,0.494,NA
CTNNB1,FGFR2,0.636,NA
CTNNB1,FEZF1,0.408,NA
CTNNB1,ROBO1,0.405,NA
CTNNB1,SLIT2,0.426,NA
CTNNB1,BCAT1,0.405,NA
CTNNB1,TCF7L2,0.999,NA
CTNNB1,DCX,0.428,NA
CTNNB1,PAX6,0.602,NA
CTNNB1,PITX2,0.963,NA
CTNNB1,OTX2,0.491,NA
CTNNB1,IGF1R,0.985,NA
CTNNBIP1,APC,0.951,FALSE
CTNNBIP1,FOXO3,0.435,FALSE
CTNNBIP1,TCF7L2,0.483,FALSE
CTNNBIP1,CTNNB1,0.999,FALSE
CTNND2,VCL,0.416,TRUE
CTNND2,CDH11,0.459,TRUE
CTNND2,CTNNB1,0.751,TRUE
CTNND2,TCF7L2,0.912,TRUE
CUL4B,DDB2,0.998,FALSE
CUL4B,KPNB1,0.416,FALSE
CUL4B,SMC5,0.554,FALSE
CUL4B,AFF2,0.413,FALSE
CUL4B,CTNNB1,0.406,FALSE
CXCL10,LGALS3,0.402,TRUE
CXCL10,FGF2,0.626,TRUE
CXCL10,EGF,0.609,TRUE
CXCL10,ACKR3,0.863,TRUE
CXCL10,CTNNB1,0.4,TRUE
CXCL10,FGFR2,0.431,TRUE
CXCL10,LPAR1,0.481,TRUE
CXCL10,FGF8,0.487,TRUE
CXCL10,IFITM3,0.508,TRUE
CXCL10,IGFBP3,0.521,TRUE
CXCL10,FN1,0.686,TRUE
DAAM1,WNT1,0.657,TRUE
DAAM1,PRICKLE1,0.746,TRUE
DAAM1,RHOU,0.455,TRUE
DAAM1,FZD8,0.404,TRUE
DAAM1,SOWAHC,0.438,TRUE
DAAM1,CTNNB1,0.455,TRUE
DAAM1,WNT5B,0.693,TRUE
DCX,FGF2,0.611,TRUE
DCX,EGF,0.577,TRUE
DCX,NTRK2,0.532,TRUE
DCX,SHH,0.453,TRUE
DCX,CAPN6,0.56,TRUE
DCX,SOX2,0.686,TRUE
DCX,SOX1,0.469,TRUE
DCX,FOXG1,0.411,TRUE
DCX,ELAVL4,0.474,TRUE
DCX,NES,0.876,TRUE
DCX,ARX,0.562,TRUE
DCX,CTNNB1,0.428,TRUE
DCX,PAX6,0.661,TRUE
DDB2,CCNG1,0.463,FALSE
DDB2,ZMAT3,0.505,FALSE
DDB2,GADD45A,0.621,FALSE
DDB2,CDKN1A,0.702,FALSE
DDB2,AGO1,0.732,FALSE
DDB2,CUL4B,0.998,FALSE
DDC,NTRK2,0.449,TRUE
DDC,FOXA2,0.519,TRUE
DIO3,BMP4,0.456,FALSE
DIO3,DLK1,0.924,FALSE
DIO3,BEGAIN,0.432,FALSE
DIO3,RTL1,0.791,FALSE
DLK1,EGF,0.542,FALSE
DLK1,SLC38A4,0.453,FALSE
DLK1,SOX2,0.466,FALSE
DLK1,CTNNB1,0.454,FALSE
DLK1,FN1,0.57,FALSE
DLK1,BEGAIN,0.607,FALSE
DLK1,FOXA2,0.611,FALSE
DLK1,PLAGL1,0.8,FALSE
DLK1,RTL1,0.92,FALSE
DLK1,DIO3,0.924,FALSE
DMD,VCL,0.94,FALSE
DMD,LAMC1,0.687,FALSE
DMD,EGF,0.454,FALSE
DMD,FN1,0.407,FALSE
DMD,TPM1,0.781,FALSE
DMD,TNNT1,0.594,FALSE
DMD,DSP,0.609,FALSE
DPYSL3,ROBO1,0.488,FALSE
DSP,VCL,0.655,FALSE
DSP,LGALS3,0.457,FALSE
DSP,CDH11,0.516,FALSE
DSP,GJA1,0.84,FALSE
DSP,SOX2,0.411,FALSE
DSP,ANXA2,0.511,FALSE
DSP,FN1,0.544,FALSE
DSP,DMD,0.609,FALSE
DSP,CTNNB1,0.861,FALSE
DUSP4,ETV5,0.475,FALSE
DUSP4,SPRY2,0.567,FALSE
DUSP4,SPRY4,0.572,FALSE
ECHDC2,VAT1L,0.566,TRUE
ECHDC2,MRPS6,0.458,TRUE
EDNRA,NMU,0.523,TRUE
EDNRA,PITX2,0.4,TRUE
EDNRA,TCF7L2,0.4,TRUE
EDNRA,BCL2L11,0.609,TRUE
EFNB1,NTN1,0.647,FALSE
EFNB1,FGFR3,0.403,FALSE
EFNB1,FGFR2,0.406,FALSE
EFNB1,TCF12,0.423,FALSE
EFNB1,TCF7L2,0.533,FALSE
EFNB1,NTRK2,0.564,FALSE
EFNB1,TIAM1,0.577,FALSE
EFNB1,NLGN1,0.577,FALSE
EFNB1,CTNNB1,0.585,FALSE
EFNB1,EPHA7,0.856,FALSE
EFNB1,EPHA3,0.891,FALSE
EFNB1,EPHA2,0.932,FALSE
EFNB1,EPHA4,0.998,FALSE
EGF,VCL,0.616,FALSE
EGF,LGALS1,0.493,FALSE
EGF,GLI1,0.614,FALSE
EGF,BMP4,0.689,FALSE
EGF,FOXA1,0.408,FALSE
EGF,LGALS3,0.773,FALSE
EGF,JAG1,0.869,FALSE
EGF,LAMC1,0.561,FALSE
EGF,FGF2,0.969,FALSE
EGF,TNC,0.599,FALSE
EGF,CLU,0.407,FALSE
EGF,PTCH1,0.433,FALSE
EGF,SOX1,0.434,FALSE
EGF,BCL2L11,0.445,FALSE
EGF,FOXA2,0.448,FALSE
EGF,FOXO3,0.451,FALSE
EGF,DMD,0.454,FALSE
EGF,CDK6,0.462,FALSE
EGF,SPRY4,0.482,FALSE
EGF,IRS1,0.486,FALSE
EGF,WNT1,0.52,FALSE
EGF,DLK1,0.542,FALSE
EGF,ITGA6,0.57,FALSE
EGF,CDKN1A,0.57,FALSE
EGF,DCX,0.577,FALSE
EGF,TENM1,0.582,FALSE
EGF,CXCL10,0.609,FALSE
EGF,FRZB,0.612,FALSE
EGF,SPRY1,0.612,FALSE
EGF,ANXA2,0.613,FALSE
EGF,PAX6,0.614,FALSE
EGF,GJA1,0.644,FALSE
EGF,IGFBP3,0.657,FALSE
EGF,BMP7,0.667,FALSE
EGF,SOX2,0.725,FALSE
EGF,SPRY2,0.742,FALSE
EGF,LRIG1,0.776,FALSE
EGF,SHH,0.783,FALSE
EGF,NES,0.789,FALSE
EGF,EPHA2,0.802,FALSE
EGF,CTNNB1,0.868,FALSE
EGF,NTRK2,0.884,FALSE
EGF,FGFR3,0.902,FALSE
EGF,FGFR2,0.936,FALSE
EGF,PDGFD,0.937,FALSE
EGF,FN1,0.96,FALSE
EGF,FGF8,0.991,FALSE
EGF,IGF1R,0.997,FALSE
EIF4EBP2,RRAGD,0.412,TRUE
ELAVL4,SOX2,0.573,TRUE
ELAVL4,SOX1,0.459,TRUE
ELAVL4,PAX6,0.432,TRUE
ELAVL4,DCX,0.474,TRUE
ELAVL4,PNMA2,0.538,TRUE
ELAVL4,NLGN1,0.556,TRUE
EPB41L2,NLGN1,0.513,TRUE
EPB41L2,GRIA1,0.752,TRUE
EPHA2,EFNB1,0.932,FALSE
EPHA2,FGF2,0.773,FALSE
EPHA2,EGF,0.802,FALSE
EPHA2,EPHA4,0.808,FALSE
EPHA2,ITGB5,0.672,FALSE
EPHA2,IRS1,0.726,FALSE
EPHA2,FGF8,0.719,FALSE
EPHA2,OPCML,0.43,FALSE
EPHA2,EPHA3,0.546,FALSE
EPHA2,FN1,0.481,FALSE
EPHA2,SLIT2,0.401,FALSE
EPHA2,IGF1R,0.543,FALSE
EPHA2,FGFR2,0.559,FALSE
EPHA2,RHOU,0.611,FALSE
EPHA2,PLCB4,0.65,FALSE
EPHA2,PDGFD,0.705,FALSE
EPHA2,CTNNB1,0.759,FALSE
EPHA2,EPHA7,0.823,FALSE
EPHA3,EFNB1,0.891,TRUE
EPHA3,EPHA4,0.835,TRUE
EPHA3,SLIT2,0.4,TRUE
EPHA3,CTNNB1,0.444,TRUE
EPHA3,EPHA2,0.546,TRUE
EPHA3,ROBO1,0.553,TRUE
EPHA3,EPHA7,0.924,TRUE
EPHA4,NTN1,0.46,FALSE
EPHA4,EFNB1,0.998,FALSE
EPHA4,SLIT1,0.455,FALSE
EPHA4,FGFR2,0.419,FALSE
EPHA4,ROBO1,0.461,FALSE
EPHA4,RGMA,0.512,FALSE
EPHA4,FGFR3,0.624,FALSE
EPHA4,EPHA7,0.726,FALSE
EPHA4,EPHA2,0.808,FALSE
EPHA4,EPHA3,0.835,FALSE
EPHA7,EFNB1,0.856,TRUE
EPHA7,NTRK2,0.53,TRUE
EPHA7,EPHA4,0.726,TRUE
EPHA7,SOX2,0.486,TRUE
EPHA7,EPHA3,0.924,TRUE
EPHA7,EPHA2,0.823,TRUE
EPHA7,SLIT2,0.482,TRUE
EPHA7,CTNNB1,0.555,TRUE
ETV5,DUSP4,0.475,FALSE
ETV5,FOXA1,0.578,FALSE
ETV5,FGF2,0.412,FALSE
ETV5,SP8,0.416,FALSE
ETV5,POU3F1,0.43,FALSE
ETV5,FGFR2,0.44,FALSE
ETV5,FGF8,0.452,FALSE
ETV5,SPRY1,0.543,FALSE
ETV5,SPRY2,0.599,FALSE
ETV5,SPRY4,0.638,FALSE
FABP5,ANXA2,0.447,TRUE
FABP5,FN1,0.532,TRUE
FBN2,BMP4,0.506,FALSE
FBN2,COL1A2,0.516,FALSE
FBN2,FN1,0.876,FALSE
FBN2,MYLK,0.503,FALSE
