#node1	node2	combined_score
CALM1	BCL2L11	0.432
CALM1	ITGA6	0.585
CALM1	ATP2B1	0.630
CALM1	GRIA1	0.542
CAPN6	DCX	0.560
CCNG1	DDB2	0.463
CCNG1	CDK6	0.644
CCNG1	PLK2	0.554
CCNG1	ZMAT3	0.570
CCNG1	IGF1R	0.445
CCNG1	GADD45A	0.597
CCNG1	CDKN1A	0.618
CDH11	VCL	0.603
CDH11	APC	0.572
CDH11	COL11A1	0.455
CDH11	CTNND2	0.459
CDH11	GJA1	0.507
CDH11	DSP	0.516
CDH11	FN1	0.664
CDH11	COL1A2	0.693
CDH11	CTNNB1	0.993
CDK6	JAG1	0.400
CDK6	EGF	0.462
CDK6	SHH	0.400
CDK6	BCL2L11	0.447
CDK6	SOX2	0.474
CDK6	PLK2	0.491
CDK6	GADD45A	0.612
CDK6	CCNG1	0.644
CDK6	AGO1	0.693
CDK6	CTNNB1	0.752
CDK6	FOXO3	0.802
CDK6	CDKN1A	0.999
CDKN1A	ID2	0.541
CDKN1A	GADD45G	0.729
CDKN1A	JAG1	0.454
CDKN1A	DDB2	0.702
CDKN1A	PSMB7	0.438
CDKN1A	FGF2	0.446
CDKN1A	EGF	0.570
CDKN1A	CDK6	0.999
CDKN1A	PLK2	0.400
CDKN1A	GJA1	0.430
CDKN1A	MSI2	0.514
CDKN1A	SHH	0.443
CDKN1A	ZMAT3	0.687
CDKN1A	SOX2	0.520
CDKN1A	FOXO3	0.995
CDKN1A	CCNG1	0.618
CDKN1A	FN1	0.462
CDKN1A	RHOU	0.455
CDKN1A	GADD45A	0.974
CDKN1A	IGFBP3	0.489
CDKN1A	BCL2L11	0.726
CDKN1A	SEM1	0.400
CDKN1A	IGF1R	0.510
CDKN1A	CTNNB1	0.625
CDON	GLI1	0.552
CDON	SIX3	0.457
CDON	HHIP	0.592
CDON	SHH	0.999
CDON	GAS1	0.995
CDON	PTCH1	0.998
CDON	FN1	0.551
CDON	ZIC2	0.464
CDON	GLI3	0.526
CDON	GLI2	0.623
CDON	CTNNB1	0.677
CDON	TNNT1	0.772
CLDN3	JAM2	0.445
CLDN3	CTNNB1	0.543
CLU	LGALS3	0.626
CLU	SERPINF1	0.658
CLU	EGF	0.407
CLU	SEC61G	0.411
CLU	SOX2	0.461
CLU	IGFBP3	0.598
CLU	LTBP1	0.622
CLU	FN1	0.802
CNTN6	NTRK2	0.466
CNTN6	ADGRL1	0.530
COL11A1	SFRP1	0.539
COL11A1	LAMC1	0.432
COL11A1	CDH11	0.455
COL11A1	HHIP	0.459
COL11A1	COL1A2	0.992
COL11A1	CRTAP	0.570
COL11A1	FN1	0.511
COL11A1	COL4A2	0.715
COL11A1	COLGALT2	0.568
COL11A1	FBN2	0.481
COL11A1	COL25A1	0.505
COL11A1	SERPINH1	0.673
COL11A1	COL2A1	0.976
COL1A2	ITGB8	0.723
COL1A2	BMP4	0.450
COL1A2	SERPINF1	0.669
COL1A2	LAMC1	0.701
COL1A2	NMU	0.402
COL1A2	FGF2	0.444
COL1A2	ITGA9	0.705
COL1A2	CDH11	0.693
COL1A2	SEC24D	0.446
COL1A2	GJA1	0.476
COL1A2	WNT1	0.450
COL1A2	ITGB5	0.791
COL1A2	MYO16	0.401
COL1A2	PALLD	0.411
COL1A2	PRRX2	0.414
COL1A2	CTNNB1	0.429
COL1A2	LPAR1	0.443
COL1A2	MYLK	0.462
COL1A2	IGFBP3	0.468
COL1A2	FGFR3	0.508
COL1A2	FBN2	0.516
COL1A2	COL25A1	0.532
COL1A2	COLGALT2	0.575
COL1A2	LTBP1	0.606
COL1A2	ITGA6	0.751
COL1A2	COL4A2	0.786
COL1A2	SERPINH1	0.879
COL1A2	COL2A1	0.883
COL1A2	CRTAP	0.964
COL1A2	FN1	0.982
COL1A2	COL11A1	0.992
COL25A1	COL1A2	0.532
COL25A1	CRTAP	0.503
COL25A1	COL4A2	0.562
COL25A1	COLGALT2	0.629
COL25A1	COL11A1	0.505
COL25A1	COL2A1	0.525
COL25A1	SERPINH1	0.563
COL2A1	ITGB8	0.699
COL2A1	BMP4	0.531
COL2A1	FGF2	0.477
COL2A1	ITGA9	0.702
COL2A1	FRZB	0.444
COL2A1	ITGB5	0.696
COL2A1	COL1A2	0.883
COL2A1	CRTAP	0.652
COL2A1	FGFR3	0.775
COL2A1	FN1	0.456
COL2A1	COL4A2	0.660
COL2A1	COLGALT2	0.798
COL2A1	NES	0.551
COL2A1	COL11A1	0.976
COL2A1	FBN2	0.435
COL2A1	CALM1	0.440
COL2A1	CTNNB1	0.480
COL2A1	BMP7	0.514
COL2A1	COL25A1	0.525
COL2A1	ITGA6	0.713
COL2A1	SERPINH1	0.791
COL4A2	ITGB8	0.798
COL4A2	LAMC1	0.814
COL4A2	ITGA9	0.740
COL4A2	ITGB5	0.857
COL4A2	COL1A2	0.786
COL4A2	CRTAP	0.583
COL4A2	FN1	0.750
COL4A2	GLI3	0.404
COL4A2	ATP2C2	0.412
COL4A2	BMP7	0.519
COL4A2	COL25A1	0.562
COL4A2	COL2A1	0.660
COL4A2	COL11A1	0.715
COL4A2	ITGA6	0.769
COL4A2	COLGALT2	0.832
COL4A2	SERPINH1	0.880
COLGALT2	COL1A2	0.575
COLGALT2	COL4A2	0.832
COLGALT2	COL11A1	0.568
COLGALT2	COL25A1	0.629
COLGALT2	COL2A1	0.798
COPB2	LMAN1	0.739
COPB2	KDELR2	0.717
COPB2	MAN2A1	0.859
COPB2	ARCN1	0.999
COPB2	SEC24D	0.486
COPB2	ARF4	0.807
COPB2	RAB1A	0.683
COPB2	SURF4	0.702
COPB2	ARF1	0.818
CRTAP	SERPINF1	0.748
CRTAP	SEC24D	0.707
CRTAP	WNT1	0.603
CRTAP	COL1A2	0.964
CRTAP	FGFR3	0.412
CRTAP	COL25A1	0.503
CRTAP	COL11A1	0.570
CRTAP	COL4A2	0.583
CRTAP	COL2A1	0.652
CRTAP	SERPINH1	0.900
CTNNB1	EFNB1	0.585
CTNNB1	VCL	0.997
CTNNB1	SFRP1	0.874
CTNNB1	GLI1	0.829
CTNNB1	ID2	0.422
CTNNB1	BMP4	0.809
CTNNB1	FOXA1	0.676
CTNNB1	LGALS3	0.865
CTNNB1	JAG1	0.796
CTNNB1	APC	0.999
CTNNB1	USP2	0.585
CTNNB1	FGF2	0.718
CTNNB1	EGF	0.868
CTNNB1	CDK6	0.752
CTNNB1	SLIT1	0.583
CTNNB1	NKD1	0.739
CTNNB1	CDH11	0.993
CTNNB1	LRIG1	0.462
CTNNB1	NTRK2	0.431
CTNNB1	GJA1	0.870
CTNNB1	TIAM1	0.645
CTNNB1	KPNB1	0.475
CTNNB1	WNT1	0.973
CTNNB1	FRZB	0.811
CTNNB1	SHH	0.870
CTNNB1	COL1A2	0.429
CTNNB1	IRS1	0.686
CTNNB1	CXCL10	0.400
CTNNB1	CTNND2	0.751
CTNNB1	FGF8	0.769
CTNNB1	SOX2	0.991
CTNNB1	SOX1	0.563
CTNNB1	PTCH1	0.731
CTNNB1	EPHA3	0.444
CTNNB1	FOXG1	0.740
CTNNB1	FOXO3	0.998
CTNNB1	FGFR3	0.600
CTNNB1	DLK1	0.454
CTNNB1	PRICKLE1	0.514
CTNNB1	ANXA2	0.428
CTNNB1	WLS	0.591
CTNNB1	FN1	0.850
CTNNB1	NKX2-1	0.476
CTNNB1	EPHA2	0.759
CTNNB1	FZD5	0.797
CTNNB1	RHOU	0.591
CTNNB1	NES	0.626
CTNNB1	EPHA7	0.555
CTNNB1	BMPR2	0.463
CTNNB1	FZD8	0.798
CTNNB1	ZIC2	0.617
CTNNB1	TLE4	0.935
CTNNB1	CTNNBIP1	0.999
CTNNB1	FTL	0.473
CTNNB1	DSP	0.861
CTNNB1	COL2A1	0.480
CTNNB1	IGFBP3	0.431
CTNNB1	CDON	0.677
CTNNB1	BCL2L11	0.525
CTNNB1	PTPRZ1	0.511
CTNNB1	DAAM1	0.455
CTNNB1	CLDN3	0.543
CTNNB1	BMP7	0.723
CTNNB1	GLI3	0.686
CTNNB1	WNT5B	0.684
CTNNB1	CUL4B	0.406
CTNNB1	CDKN1A	0.625
CTNNB1	HIPK2	0.410
CTNNB1	ITGA6	0.542
CTNNB1	GLI2	0.634
CTNNB1	NLGN1	0.553
CTNNB1	FOXA2	0.558
CTNNB1	SP8	0.494
CTNNB1	FGFR2	0.636
CTNNB1	FEZF1	0.408
CTNNB1	ROBO1	0.405
CTNNB1	SLIT2	0.426
CTNNB1	BCAT1	0.405
CTNNB1	TCF7L2	0.999
CTNNB1	DCX	0.428
CTNNB1	PAX6	0.602
CTNNB1	PITX2	0.963
CTNNB1	OTX2	0.491
CTNNB1	IGF1R	0.985
CTNNBIP1	APC	0.951
CTNNBIP1	FOXO3	0.435
CTNNBIP1	TCF7L2	0.483
CTNNBIP1	CTNNB1	0.999
CTNND2	VCL	0.416
CTNND2	CDH11	0.459
CTNND2	CTNNB1	0.751
CTNND2	TCF7L2	0.912
CUL4B	DDB2	0.998
CUL4B	KPNB1	0.416
CUL4B	SMC5	0.554
CUL4B	AFF2	0.413
CUL4B	CTNNB1	0.406
CXCL10	LGALS3	0.402
CXCL10	FGF2	0.626
CXCL10	EGF	0.609
CXCL10	ACKR3	0.863
CXCL10	CTNNB1	0.400
CXCL10	FGFR2	0.431
CXCL10	LPAR1	0.481
CXCL10	FGF8	0.487
CXCL10	IFITM3	0.508
CXCL10	IGFBP3	0.521
CXCL10	FN1	0.686
DAAM1	WNT1	0.657
DAAM1	PRICKLE1	0.746
DAAM1	RHOU	0.455
DAAM1	FZD8	0.404
DAAM1	SOWAHC	0.438
DAAM1	CTNNB1	0.455
DAAM1	WNT5B	0.693
DCX	FGF2	0.611
DCX	EGF	0.577
DCX	NTRK2	0.532
DCX	SHH	0.453
DCX	CAPN6	0.560
DCX	SOX2	0.686
DCX	SOX1	0.469
DCX	FOXG1	0.411
DCX	ELAVL4	0.474
DCX	NES	0.876
DCX	ARX	0.562
DCX	CTNNB1	0.428
DCX	PAX6	0.661
DDB2	CCNG1	0.463
DDB2	ZMAT3	0.505
DDB2	GADD45A	0.621
DDB2	CDKN1A	0.702
DDB2	AGO1	0.732
DDB2	CUL4B	0.998
DDC	NTRK2	0.449
DDC	FOXA2	0.519
DIO3	BMP4	0.456
DIO3	DLK1	0.924
DIO3	BEGAIN	0.432
DIO3	RTL1	0.791
DLK1	EGF	0.542
DLK1	SLC38A4	0.453
DLK1	SOX2	0.466
DLK1	CTNNB1	0.454
DLK1	FN1	0.570
DLK1	BEGAIN	0.607
DLK1	FOXA2	0.611
DLK1	PLAGL1	0.800
DLK1	RTL1	0.920
DLK1	DIO3	0.924
DMD	VCL	0.940
DMD	LAMC1	0.687
DMD	EGF	0.454
DMD	FN1	0.407
DMD	TPM1	0.781
DMD	TNNT1	0.594
DMD	DSP	0.609
DPYSL3	ROBO1	0.488
DSP	VCL	0.655
DSP	LGALS3	0.457
DSP	CDH11	0.516
DSP	GJA1	0.840
DSP	SOX2	0.411
DSP	ANXA2	0.511
DSP	FN1	0.544
DSP	DMD	0.609
DSP	CTNNB1	0.861
DUSP4	ETV5	0.475
DUSP4	SPRY2	0.567
DUSP4	SPRY4	0.572
ECHDC2	VAT1L	0.566
ECHDC2	MRPS6	0.458
EDNRA	NMU	0.523
EDNRA	PITX2	0.400
EDNRA	TCF7L2	0.400
EDNRA	BCL2L11	0.609
EFNB1	NTN1	0.647
EFNB1	FGFR3	0.403
EFNB1	FGFR2	0.406
EFNB1	TCF12	0.423
EFNB1	TCF7L2	0.533
EFNB1	NTRK2	0.564
EFNB1	TIAM1	0.577
EFNB1	NLGN1	0.577
EFNB1	CTNNB1	0.585
EFNB1	EPHA7	0.856
EFNB1	EPHA3	0.891
EFNB1	EPHA2	0.932
EFNB1	EPHA4	0.998
EGF	VCL	0.616
EGF	LGALS1	0.493
EGF	GLI1	0.614
EGF	BMP4	0.689
EGF	FOXA1	0.408
EGF	LGALS3	0.773
EGF	JAG1	0.869
EGF	LAMC1	0.561
EGF	FGF2	0.969
EGF	TNC	0.599
EGF	CLU	0.407
EGF	PTCH1	0.433
EGF	SOX1	0.434
EGF	BCL2L11	0.445
EGF	FOXA2	0.448
EGF	FOXO3	0.451
EGF	DMD	0.454
EGF	CDK6	0.462
EGF	SPRY4	0.482
EGF	IRS1	0.486
EGF	WNT1	0.520
EGF	DLK1	0.542
EGF	ITGA6	0.570
EGF	CDKN1A	0.570
EGF	DCX	0.577
EGF	TENM1	0.582
EGF	CXCL10	0.609
EGF	FRZB	0.612
EGF	SPRY1	0.612
EGF	ANXA2	0.613
EGF	PAX6	0.614
EGF	GJA1	0.644
EGF	IGFBP3	0.657
EGF	BMP7	0.667
EGF	SOX2	0.725
EGF	SPRY2	0.742
EGF	LRIG1	0.776
EGF	SHH	0.783
EGF	NES	0.789
EGF	EPHA2	0.802
EGF	CTNNB1	0.868
EGF	NTRK2	0.884
EGF	FGFR3	0.902
EGF	FGFR2	0.936
EGF	PDGFD	0.937
EGF	FN1	0.960
EGF	FGF8	0.991
EGF	IGF1R	0.997
EIF4EBP2	RRAGD	0.412
ELAVL4	SOX2	0.573
ELAVL4	SOX1	0.459
ELAVL4	PAX6	0.432
ELAVL4	DCX	0.474
ELAVL4	PNMA2	0.538
ELAVL4	NLGN1	0.556
EPB41L2	NLGN1	0.513
EPB41L2	GRIA1	0.752
EPHA2	EFNB1	0.932
EPHA2	FGF2	0.773
EPHA2	EGF	0.802
EPHA2	EPHA4	0.808
EPHA2	ITGB5	0.672
EPHA2	IRS1	0.726
EPHA2	FGF8	0.719
EPHA2	OPCML	0.430
EPHA2	EPHA3	0.546
EPHA2	FN1	0.481
EPHA2	SLIT2	0.401
EPHA2	IGF1R	0.543
EPHA2	FGFR2	0.559
EPHA2	RHOU	0.611
EPHA2	PLCB4	0.650
EPHA2	PDGFD	0.705
EPHA2	CTNNB1	0.759
EPHA2	EPHA7	0.823
EPHA3	EFNB1	0.891
EPHA3	EPHA4	0.835
EPHA3	SLIT2	0.400
EPHA3	CTNNB1	0.444
EPHA3	EPHA2	0.546
EPHA3	ROBO1	0.553
EPHA3	EPHA7	0.924
EPHA4	NTN1	0.460
EPHA4	EFNB1	0.998
EPHA4	SLIT1	0.455
EPHA4	FGFR2	0.419
EPHA4	ROBO1	0.461
EPHA4	RGMA	0.512
EPHA4	FGFR3	0.624
EPHA4	EPHA7	0.726
EPHA4	EPHA2	0.808
EPHA4	EPHA3	0.835
EPHA7	EFNB1	0.856
EPHA7	NTRK2	0.530
EPHA7	EPHA4	0.726
EPHA7	SOX2	0.486
EPHA7	EPHA3	0.924
EPHA7	EPHA2	0.823
EPHA7	SLIT2	0.482
EPHA7	CTNNB1	0.555
ETV5	DUSP4	0.475
ETV5	FOXA1	0.578
ETV5	FGF2	0.412
ETV5	SP8	0.416
ETV5	POU3F1	0.430
ETV5	FGFR2	0.440
ETV5	FGF8	0.452
ETV5	SPRY1	0.543
ETV5	SPRY2	0.599
ETV5	SPRY4	0.638
FABP5	ANXA2	0.447
FABP5	FN1	0.532
FBN2	BMP4	0.506
FBN2	COL1A2	0.516
FBN2	FN1	0.876
FBN2	MYLK	0.503
FBN2	COL11A1	0.481
FBN2	ZIC2	0.404
FBN2	COL2A1	0.435
FBN2	BMP7	0.606
FBN2	LTBP1	0.677
FBXW4	FGF8	0.558
FBXW4	SEM1	0.738
FDFT1	PGRMC1	0.627
FEZF1	SIX3	0.438
FEZF1	IL17RD	0.500
FEZF1	SPRY4	0.447
FEZF1	LHX2	0.554
FEZF1	ZNF385B	0.458
FEZF1	CTNNB1	0.408
FGF2	VCL	0.455
FGF2	SFRP1	0.414
FGF2	GLI1	0.458
FGF2	BMP4	0.873
FGF2	LGALS3	0.613
FGF2	SERPINF1	0.625
FGF2	JAG1	0.536
FGF2	ETV5	0.412
FGF2	LPAR1	0.433
FGF2	BMPR2	0.434
FGF2	NKX2-2	0.434
FGF2	COL1A2	0.444
FGF2	CDKN1A	0.446
FGF2	PTCH1	0.455
FGF2	COL2A1	0.477
FGF2	FOXG1	0.477
FGF2	WNT1	0.480
FGF2	ITGA6	0.502
FGF2	ANXA2	0.539
FGF2	OTX2	0.559
FGF2	FOXA2	0.596
FGF2	GJA1	0.601
FGF2	SOX1	0.604
FGF2	DCX	0.611
FGF2	CXCL10	0.626
FGF2	FGF8	0.630
FGF2	PTPRZ1	0.634
FGF2	IGFBP3	0.659
FGF2	SULF2	0.685
FGF2	PAX6	0.708
FGF2	CTNNB1	0.718
FGF2	SHH	0.749
FGF2	EPHA2	0.773
FGF2	BMP7	0.786
FGF2	NES	0.836
FGF2	IGF1R	0.900
FGF2	NTRK2	0.908
FGF2	SOX2	0.933
FGF2	FN1	0.965
FGF2	EGF	0.969
FGF2	FGFR2	0.999
FGF2	FGFR3	0.999
FGF8	GLI1	0.581
FGF8	BMP4	0.870
FGF8	VGF	0.456
FGF8	JAG1	0.498
FGF8	SIX3	0.541
FGF8	FGF2	0.630
FGF8	EGF	0.991
FGF8	NTRK2	0.762
FGF8	WNT1	0.802
FGF8	IL17RD	0.669
FGF8	SHH	0.954
FGF8	IRS1	0.520
FGF8	CXCL10	0.487
FGF8	ETV5	0.452
FGF8	NKX2-2	0.416
FGF8	LHX2	0.427
FGF8	SP8	0.446
FGF8	PRRX2	0.468
FGF8	NKX2-1	0.476
FGF8	PTPRZ1	0.482
FGF8	LRP4	0.483
FGF8	SOX1	0.506
FGF8	GLI2	0.541
FGF8	PITX2	0.549
FGF8	PTCH1	0.554
FGF8	FBXW4	0.558
FGF8	FOXG1	0.590
FGF8	NES	0.621
FGF8	BMP7	0.635
FGF8	SOX2	0.650
FGF8	GLI3	0.679
FGF8	PAX6	0.680
FGF8	FOXA2	0.699
FGF8	SPRY1	0.700
FGF8	SPRY4	0.713
FGF8	EPHA2	0.719
FGF8	SPRY2	0.721
FGF8	CTNNB1	0.769
FGF8	FN1	0.799
FGF8	OTX2	0.808
FGF8	IGF1R	0.848
FGF8	FGFR3	0.999
FGF8	FGFR2	0.999
FGFR2	EFNB1	0.406
FGFR2	GLI1	0.488
FGFR2	BMP4	0.693
FGFR2	LGALS3	0.476
FGFR2	JAG1	0.596
FGFR2	FGF2	0.999
FGFR2	EGF	0.936
FGFR2	EPHA4	0.419
FGFR2	IL17RD	0.653
FGFR2	SHH	0.717
FGFR2	IRS1	0.817
FGFR2	CXCL10	0.431
FGFR2	ETV5	0.440
FGFR2	FGF8	0.999
FGFR2	SOX2	0.512
FGFR2	PTCH1	0.448
FGFR2	FGFR3	0.987
FGFR2	SPRY4	0.588
FGFR2	FN1	0.581
FGFR2	TPM1	0.480
FGFR2	EPHA2	0.559
FGFR2	SPRY2	0.490
FGFR2	PLCB4	0.681
FGFR2	PDGFD	0.719
FGFR2	BMP7	0.658
FGFR2	GLI3	0.407
FGFR2	SPRY1	0.402
FGFR2	OTX2	0.471
FGFR2	ADAMTS9	0.512
FGFR2	IGF1R	0.532
FGFR2	CTNNB1	0.636
FGFR3	EFNB1	0.403
FGFR3	BMP4	0.449
FGFR3	FOXA1	0.408
FGFR3	FGF2	0.999
FGFR3	EGF	0.902
FGFR3	NTRK2	0.479
FGFR3	EPHA4	0.624
FGFR3	SHH	0.633
FGFR3	COL1A2	0.508
FGFR3	IRS1	0.703
FGFR3	FGF8	0.999
FGFR3	SOX2	0.442
FGFR3	CRTAP	0.412
FGFR3	OPCML	0.473
FGFR3	PTCH1	0.423
FGFR3	NES	0.545
FGFR3	CTNNB1	0.600
FGFR3	PLCB4	0.650
FGFR3	COL2A1	0.775
FGFR3	PDGFD	0.788
FGFR3	FGFR2	0.987
FJX1	PRICKLE1	0.406
FN1	NTN1	0.562
FN1	VCL	0.992
FN1	LGALS1	0.878
FN1	ITGB8	0.930
FN1	GLI1	0.418
FN1	BMP4	0.715
FN1	VGF	0.438
FN1	LGALS3	0.985
FN1	SERPINF1	0.846
FN1	JAG1	0.500
FN1	LAMC1	0.700
FN1	FGF2	0.965
FN1	ITGA9	0.945
FN1	TNC	0.814
FN1	EGF	0.960
FN1	SLIT1	0.532
FN1	CDH11	0.664
FN1	GJA1	0.739
FN1	KPNB1	0.407
FN1	WNT1	0.413
FN1	ITGB5	0.995
FN1	IL17RD	0.611
FN1	FABP5	0.532
FN1	SHH	0.716
FN1	COL1A2	0.982
FN1	IRS1	0.777
FN1	CXCL10	0.686
FN1	CLU	0.802
FN1	FGF8	0.799
FN1	SOX2	0.622
FN1	PTCH1	0.559
FN1	IGDCC3	0.442
FN1	FOXO3	0.580
FN1	DLK1	0.570
FN1	ADGRL1	0.503
FN1	ANXA2	0.723
FN1	PODXL	0.404
FN1	PAX6	0.404
FN1	PTPRZ1	0.404
FN1	DMD	0.407
FN1	COL2A1	0.456
FN1	CDKN1A	0.462
FN1	RHOU	0.478
FN1	EPHA2	0.481
FN1	COL11A1	0.511
FN1	DSP	0.544
FN1	CDON	0.551
FN1	FGFR2	0.581
FN1	NES	0.630
FN1	BMPR2	0.706
FN1	BMP7	0.728
FN1	SERPINH1	0.740
FN1	COL4A2	0.750
FN1	CTNNB1	0.850
FN1	IGF1R	0.875
FN1	FBN2	0.876
FN1	ITGA6	0.928
FN1	LTBP1	0.949
FN1	IGFBP3	0.967
FOXA1	XBP1	0.499
FOXA1	SFRP1	0.524
FOXA1	BMP4	0.425
FOXA1	IGF1R	0.406
FOXA1	FGFR3	0.408
FOXA1	EGF	0.408
FOXA1	NKX2-8	0.461
FOXA1	NKX2-2	0.478
FOXA1	OTX2	0.480
FOXA1	PAX6	0.496
FOXA1	ETV5	0.578
FOXA1	TCF7L2	0.609
FOXA1	CTNNB1	0.676
