X,Figure1E,Figure2C,Figure2D,Figure2H,Figure4B,genes,sc_w3_w4,mouse
ENSG00000010610,dAN,NA,NA,NA,Cluster 2,CD4,expressed,NA
ENSG00000011201,dAN,NA,NA,NA,NA,ANOS1,NA,NA
ENSG00000011478,dAN,NA,NA,NA,NA,QPCTL,expressed,NA
ENSG00000011590,dAN,NA,NA,NA,NA,ZBTB32,NA,NA
ENSG00000014914,dAN,NA,NA,NA,NA,MTMR11,expressed,NA
ENSG00000015592,dAN,Dorsal forebrain,NA,NA,Cluster 2,STMN4,expressed,NA
ENSG00000017483,dAN,NA,NA,NA,NA,SLC38A5,expressed,NA
ENSG00000018625,dAN,Early differentiation,NA,NA,Cluster 2,ATP1A2,expressed,NA
ENSG00000019549,dAN,NA,NA,NA,NA,SNAI2,expressed,NA
ENSG00000020633,dAN,NA,NA,NA,NA,RUNX3,expressed,NA
ENSG00000021300,vAN,Ventral forebrain,NA,NA,NA,PLEKHB1,expressed,NA
ENSG00000023171,dAN,NA,NA,NA,NA,GRAMD1B,expressed,NA
ENSG00000026103,dAN,NA,NA,NA,NA,FAS,expressed,NA
ENSG00000026508,dAN,NA,NA,NA,NA,CD44,expressed,NA
ENSG00000029534,dAN,NA,NA,NA,Cluster 2,ANK1,expressed,NA
ENSG00000033122,dAN,NA,NA,NA,NA,LRRC7,expressed,NA
ENSG00000033327,dAN,NA,NA,NA,NA,GAB2,expressed,NA
ENSG00000035403,dAN,Dorsal forebrain,NA,NA,Cluster 2,VCL,expressed,NA
ENSG00000036672,vAN,Ventral forebrain,NA,NA,NA,USP2,expressed,NA
ENSG00000039068,vAN,Early differentiation,NA,NA,NA,CDH1,expressed,NA
ENSG00000039139,vAN,NA,NA,NA,NA,DNAH5,expressed,NA
ENSG00000041515,vAN,NA,NA,NA,NA,MYO16,expressed,NA
ENSG00000041982,dAN,NA,NA,NA,Cluster 2,TNC,expressed,NA
ENSG00000042980,dAN,Dorsal forebrain,NA,NA,NA,ADAM28,expressed,NA
ENSG00000043355,dAN,Dorsal forebrain,NA,NA,Cluster 2,ZIC2,expressed,NA
ENSG00000044524,vAN,NA,NA,NA,Cluster 1,EPHA3,expressed,NA
ENSG00000046653,vAN,Ventral forebrain,NA,NA,Cluster 1,GPM6B,expressed,NA
ENSG00000048392,dAN,NA,NA,NA,NA,RRM2B,expressed,NA
ENSG00000048540,vAN,NA,NA,NA,NA,LMO3,expressed,NA
ENSG00000049249,dAN,NA,NA,NA,NA,TNFRSF9,expressed,NA
ENSG00000049323,vAN,NA,NA,NA,NA,LTBP1,expressed,NA
ENSG00000050820,dAN,NA,NA,NA,NA,BCAR1,expressed,NA
ENSG00000052126,vAN,Ventral forebrain,NA,NA,NA,PLEKHA5,expressed,NA
ENSG00000053328,dAN,NA,NA,NA,NA,METTL24,NA,NA
ENSG00000053438,vAN,NA,NA,NA,NA,NNAT,expressed,NA
ENSG00000053524,dAN,NA,NA,NA,Cluster 2,MCF2L2,expressed,NA
ENSG00000054598,vAN,NA,NA,NA,NA,FOXC1,expressed,NA
ENSG00000057593,vAN,NA,NA,NA,NA,F7,expressed,NA
ENSG00000057657,dAN,NA,NA,NA,NA,PRDM1,expressed,NA
ENSG00000058866,dAN,NA,NA,NA,NA,DGKG,expressed,NA
ENSG00000059804,dAN,Dorsal forebrain,NA,NA,NA,SLC2A3,expressed,NA
ENSG00000060709,dAN,NA,NA,NA,NA,RIMBP2,expressed,NA
ENSG00000060718,dAN,NA,NA,NA,Cluster 2,COL11A1,expressed,NA
ENSG00000060971,vAN,NA,NA,NA,NA,ACAA1,expressed,NA
ENSG00000061918,dAN,Dorsal forebrain,NA,NA,Cluster 2,GUCY1B1,NA,NA
ENSG00000064218,dAN,Dorsal forebrain,NA,NA,NA,DMRT3,expressed,NA
ENSG00000064270,vAN,NA,NA,NA,Cluster 1,ATP2C2,expressed,NA
ENSG00000064309,dAN,Dorsal forebrain,NA,NA,Cluster 2,CDON,expressed,NA
ENSG00000064655,vAN,Ventral forebrain,NA,NA,NA,EYA2,expressed,NA
ENSG00000064692,vAN,NA,NA,NA,NA,SNCAIP,expressed,NA
ENSG00000064989,dAN,NA,NA,NA,NA,CALCRL,expressed,NA
ENSG00000065320,vAN,Ventral forebrain,NA,NA,NA,NTN1,expressed,NA
ENSG00000065717,vAN,Ventral forebrain,NA,NA,Cluster 1,TLE2,expressed,NA
ENSG00000066032,dAN,Early differentiation,NA,NA,NA,CTNNA2,expressed,NA
ENSG00000066382,vAN,Ventral forebrain,NA,NA,NA,MPPED2,expressed,NA
ENSG00000066468,dAN,Dorsal forebrain,NA,NA,NA,FGFR2,expressed,NA
ENSG00000066735,vAN,Early differentiation,NA,NA,NA,KIF26A,expressed,NA
ENSG00000067182,dAN,NA,NA,NA,Cluster 2,TNFRSF1A,expressed,NA
ENSG00000067798,dAN,Dorsal forebrain,NA,NA,NA,NAV3,expressed,NA
ENSG00000068366,dAN,Dorsal forebrain,NA,NA,Cluster 2,ACSL4,expressed,NA
ENSG00000068976,vAN,NA,NA,NA,NA,PYGM,expressed,NA
ENSG00000069535,dAN,NA,NA,NA,NA,MAOB,expressed,NA
ENSG00000069667,vAN,NA,NA,NA,Cluster 1,RORA,expressed,NA
ENSG00000069696,dAN,Dorsal forebrain,NA,NA,NA,DRD4,expressed,NA
ENSG00000070193,vAN,Ventral forebrain,NA,1,NA,FGF10,expressed,NA
ENSG00000070808,dAN,Dorsal forebrain,NA,NA,NA,CAMK2A,expressed,NA
ENSG00000070961,dAN,Dorsal forebrain,NA,NA,Cluster 2,ATP2B1,expressed,NA
ENSG00000071205,dAN,NA,NA,NA,NA,ARHGAP10,expressed,NA
ENSG00000071282,dAN,NA,NA,NA,NA,LMCD1,expressed,NA
ENSG00000071794,vAN,NA,NA,NA,NA,HLTF,expressed,NA
ENSG00000072041,dAN,NA,NA,NA,NA,SLC6A15,expressed,NA
ENSG00000072110,dAN,Dorsal forebrain,NA,NA,NA,ACTN1,expressed,NA
ENSG00000072133,vAN,Ventral forebrain,NA,NA,Cluster 1,RPS6KA6,expressed,NA
ENSG00000072954,vAN,NA,NA,NA,NA,TMEM38A,expressed,NA
ENSG00000074047,dAN,Early differentiation,NA,NA,Cluster 2,GLI2,expressed,NA
ENSG00000074416,vAN,NA,NA,NA,NA,MGLL,expressed,NA
ENSG00000074590,dAN,Dorsal forebrain,NA,NA,NA,NUAK1,expressed,NA
ENSG00000075213,dAN,Dorsal forebrain,NA,NA,NA,SEMA3A,expressed,NA
ENSG00000075290,dAN,Dorsal forebrain,NA,NA,NA,WNT8B,expressed,NA
ENSG00000075426,dAN,Dorsal forebrain,NA,NA,Cluster 2,FOSL2,expressed,NA
ENSG00000075461,dAN,NA,NA,NA,NA,CACNG4,expressed,NA
ENSG00000075884,dAN,Dorsal forebrain,NA,NA,NA,ARHGAP15,expressed,NA
ENSG00000076770,dAN,Early differentiation,NA,NA,NA,MBNL3,expressed,NA
ENSG00000077150,dAN,NA,NA,NA,Cluster 2,NFKB2,expressed,NA
ENSG00000077274,vAN,Ventral forebrain,NA,1,Cluster 1,CAPN6,expressed,tested
ENSG00000077327,vAN,NA,NA,NA,NA,SPAG6,expressed,NA
ENSG00000077616,vAN,Ventral forebrain,NA,NA,Cluster 1,NAALAD2,expressed,NA
ENSG00000077942,vAN,Ventral forebrain,NA,NA,Cluster 1,FBLN1,expressed,NA
ENSG00000077943,dAN,Dorsal forebrain,NA,NA,NA,ITGA8,expressed,NA
ENSG00000078018,dAN,Dorsal forebrain,NA,NA,NA,MAP2,expressed,NA
ENSG00000078081,dAN,NA,NA,NA,NA,LAMP3,expressed,NA
ENSG00000078114,dAN,Dorsal forebrain,NA,NA,Cluster 2,NEBL,expressed,NA
ENSG00000078295,dAN,Early differentiation,NA,NA,NA,ADCY2,expressed,NA
ENSG00000078328,dAN,Dorsal forebrain,NA,NA,NA,RBFOX1,expressed,NA
ENSG00000078596,vAN,NA,NA,NA,NA,ITM2A,expressed,NA
ENSG00000079102,vAN,NA,NA,NA,NA,RUNX1T1,expressed,NA
ENSG00000079112,dAN,NA,NA,NA,Cluster 2,CDH17,expressed,NA
ENSG00000079156,dAN,Dorsal forebrain,NA,NA,Cluster 2,OSBPL6,expressed,NA
ENSG00000079337,dAN,NA,NA,NA,NA,RAPGEF3,expressed,NA
ENSG00000079689,vAN,NA,NA,NA,NA,SCGN,expressed,NA
ENSG00000079691,dAN,NA,NA,NA,NA,CARMIL1,NA,NA
ENSG00000079841,dAN,NA,NA,NA,NA,RIMS1,expressed,NA
ENSG00000079931,vAN,NA,NA,NA,NA,MOXD1,expressed,NA
ENSG00000080493,vAN,NA,NA,NA,NA,SLC4A4,expressed,NA
ENSG00000080546,dAN,Dorsal forebrain,NA,NA,NA,SESN1,expressed,NA
ENSG00000080573,dAN,NA,NA,NA,NA,COL5A3,expressed,NA
ENSG00000080709,dAN,Early differentiation,NA,NA,Cluster 1,KCNN2,expressed,NA
ENSG00000080823,vAN,NA,NA,NA,NA,MOK,expressed,NA
ENSG00000081138,vAN,NA,NA,NA,Cluster 1,CDH7,expressed,NA
ENSG00000081189,vAN,NA,NA,NA,NA,MEF2C,expressed,NA
ENSG00000082397,vAN,Ventral forebrain,NA,NA,NA,EPB41L3,expressed,NA
ENSG00000082438,dAN,NA,NA,NA,NA,COBLL1,expressed,NA
ENSG00000082497,dAN,Dorsal forebrain,NA,NA,Cluster 2,SERTAD4,expressed,NA
ENSG00000083067,dAN,NA,NA,NA,NA,TRPM3,expressed,NA
ENSG00000084628,vAN,NA,NA,NA,NA,NKAIN1,expressed,NA
ENSG00000085117,dAN,Dorsal forebrain,NA,NA,Cluster 2,CD82,expressed,NA
ENSG00000085276,dAN,NA,NA,NA,NA,MECOM,expressed,NA
ENSG00000085563,dAN,NA,NA,NA,NA,ABCB1,expressed,NA
ENSG00000085741,dAN,NA,NA,NA,NA,WNT11,expressed,NA
ENSG00000085831,dAN,NA,NA,NA,NA,TTC39A,expressed,NA
ENSG00000085871,dAN,NA,NA,NA,NA,MGST2,expressed,NA
ENSG00000086696,dAN,Dorsal forebrain,NA,NA,NA,HSD17B2,NA,NA
ENSG00000087074,dAN,NA,NA,NA,NA,PPP1R15A,expressed,NA
ENSG00000087495,vAN,NA,NA,NA,Cluster 1,PHACTR3,expressed,NA
ENSG00000087510,dAN,NA,NA,NA,NA,TFAP2C,expressed,NA
ENSG00000088280,vAN,NA,NA,NA,Cluster 1,ASAP3,expressed,NA
ENSG00000088836,vAN,Ventral forebrain,NA,2,NA,SLC4A11,expressed,NA
ENSG00000088970,vAN,Ventral forebrain,NA,NA,NA,KIZ,NA,NA
ENSG00000088992,vAN,Early differentiation,NA,NA,NA,TESC,expressed,NA
ENSG00000089116,dAN,NA,NA,NA,NA,LHX5,expressed,NA
ENSG00000089327,dAN,NA,NA,NA,NA,FXYD5,expressed,NA
ENSG00000089820,vAN,NA,NA,NA,NA,ARHGAP4,expressed,NA
ENSG00000090104,vAN,NA,NA,NA,NA,RGS1,expressed,NA
ENSG00000090530,dAN,NA,NA,NA,Cluster 2,P3H2,NA,NA
ENSG00000090539,vAN,Ventral forebrain,NA,NA,Cluster 1,CHRD,expressed,NA
ENSG00000091129,vAN,Forebrain,NA,NA,NA,NRCAM,expressed,NA
ENSG00000091428,vAN,NA,NA,NA,NA,RAPGEF4,expressed,NA
ENSG00000091513,vAN,NA,NA,NA,NA,TF,expressed,NA
ENSG00000091656,dAN,NA,NA,NA,NA,ZFHX4,expressed,tested
ENSG00000091664,dAN,Dorsal forebrain,NA,NA,NA,SLC17A6,expressed,NA
ENSG00000091879,dAN,Dorsal forebrain,NA,NA,NA,ANGPT2,expressed,NA
ENSG00000091986,dAN,Forebrain,NA,NA,NA,CCDC80,expressed,NA
ENSG00000092068,dAN,NA,NA,NA,Cluster 2,SLC7A8,expressed,NA
ENSG00000092421,vAN,Ventral forebrain,NA,NA,NA,SEMA6A,expressed,NA
ENSG00000092445,vAN,Ventral forebrain,NA,NA,NA,TYRO3,expressed,NA
ENSG00000092850,vAN,NA,NA,NA,Cluster 1,TEKT2,expressed,NA
ENSG00000092969,vAN,NA,NA,NA,NA,TGFB2,expressed,NA
ENSG00000095203,vAN,NA,NA,NA,NA,EPB41L4B,expressed,NA
ENSG00000095596,dAN,Early differentiation,NA,NA,NA,CYP26A1,expressed,NA
ENSG00000095637,dAN,NA,NA,NA,NA,SORBS1,expressed,NA
ENSG00000095713,vAN,NA,NA,NA,NA,CRTAC1,expressed,NA
ENSG00000095739,dAN,NA,NA,NA,NA,BAMBI,expressed,NA
ENSG00000095932,vAN,NA,NA,NA,NA,SMIM24,NA,NA
ENSG00000096060,dAN,NA,NA,NA,NA,FKBP5,expressed,NA
ENSG00000096433,vAN,NA,NA,NA,NA,ITPR3,expressed,NA
ENSG00000096696,dAN,Dorsal forebrain,NA,NA,Cluster 2,DSP,expressed,NA
ENSG00000099204,dAN,Dorsal forebrain,NA,NA,NA,ABLIM1,expressed,NA
ENSG00000099250,vAN,Ventral forebrain,NA,NA,NA,NRP1,expressed,NA
ENSG00000099282,dAN,NA,NA,NA,NA,TSPAN15,expressed,NA
ENSG00000099715,dAN,Forebrain,NA,1,Cluster 2,PCDH11Y,expressed,NA
ENSG00000099866,vAN,NA,NA,NA,NA,MADCAM1,expressed,NA
ENSG00000100003,dAN,Dorsal forebrain,NA,NA,NA,SEC14L2,expressed,NA
ENSG00000100060,vAN,NA,NA,NA,NA,MFNG,expressed,NA
ENSG00000100097,dAN,Dorsal forebrain,NA,NA,Cluster 2,LGALS1,expressed,NA
ENSG00000100100,vAN,NA,NA,NA,NA,PIK3IP1,expressed,NA
ENSG00000100167,vAN,NA,NA,NA,Cluster 1,SEPTIN3,NA,NA
ENSG00000100228,vAN,NA,NA,NA,NA,RAB36,expressed,NA
ENSG00000100276,dAN,NA,NA,NA,Cluster 2,RASL10A,expressed,NA
ENSG00000100314,dAN,NA,NA,NA,NA,CABP7,expressed,NA
ENSG00000100344,vAN,Ventral forebrain,NA,NA,NA,PNPLA3,expressed,NA
ENSG00000100427,vAN,NA,NA,NA,Cluster 1,MLC1,NA,NA
ENSG00000100505,vAN,Ventral forebrain,NA,NA,NA,TRIM9,expressed,tested
ENSG00000100678,dAN,NA,NA,NA,NA,SLC8A3,expressed,NA
ENSG00000100867,dAN,NA,NA,NA,Cluster 2,DHRS2,expressed,NA
ENSG00000101000,dAN,NA,NA,NA,NA,PROCR,expressed,NA
ENSG00000101017,dAN,NA,NA,NA,NA,CD40,expressed,NA
ENSG00000101096,dAN,NA,NA,NA,NA,NFATC2,expressed,NA
ENSG00000101134,dAN,NA,NA,NA,NA,DOK5,expressed,NA
ENSG00000101194,vAN,NA,NA,NA,NA,SLC17A9,expressed,NA
ENSG00000101222,vAN,NA,NA,NA,NA,SPEF1,expressed,NA
ENSG00000101311,vAN,Ventral forebrain,NA,NA,NA,FERMT1,expressed,NA
ENSG00000101333,dAN,Dorsal forebrain,NA,NA,NA,PLCB4,expressed,NA
ENSG00000101336,dAN,NA,NA,NA,NA,HCK,expressed,NA
ENSG00000101349,vAN,NA,NA,NA,NA,PAK5,NA,NA
ENSG00000101384,dAN,Dorsal forebrain,NA,NA,Cluster 2,JAG1,expressed,NA
ENSG00000101463,vAN,Ventral forebrain,NA,NA,Cluster 1,SYNDIG1,expressed,NA
ENSG00000101542,dAN,NA,NA,NA,NA,CDH20,expressed,NA
ENSG00000101605,vAN,NA,NA,NA,NA,MYOM1,expressed,NA
ENSG00000101665,vAN,NA,NA,NA,Cluster 1,SMAD7,expressed,NA
ENSG00000101695,vAN,Ventral forebrain,NA,NA,NA,RNF125,expressed,NA
ENSG00000101825,dAN,Dorsal forebrain,NA,NA,Cluster 2,MXRA5,expressed,NA
ENSG00000101871,dAN,Forebrain,NA,NA,NA,MID1,expressed,NA
ENSG00000101986,vAN,NA,NA,NA,Cluster 1,ABCD1,expressed,NA
ENSG00000102109,vAN,NA,NA,NA,NA,PCSK1N,expressed,NA
ENSG00000102271,dAN,NA,NA,NA,NA,KLHL4,expressed,NA
ENSG00000102383,vAN,Ventral forebrain,NA,NA,NA,ZDHHC15,expressed,NA
ENSG00000102445,dAN,NA,NA,NA,NA,RUBCNL,NA,NA
ENSG00000102452,vAN,NA,NA,NA,NA,NALCN,expressed,NA
ENSG00000102554,dAN,NA,NA,NA,Cluster 2,KLF5,expressed,NA
ENSG00000102678,vAN,NA,NA,2,NA,FGF9,expressed,NA
ENSG00000102760,dAN,NA,NA,NA,NA,RGCC,expressed,NA
ENSG00000103145,dAN,Dorsal forebrain,NA,NA,Cluster 2,HCFC1R1,expressed,NA
ENSG00000103175,vAN,NA,NA,NA,NA,WFDC1,expressed,NA
ENSG00000103196,vAN,NA,NA,NA,Cluster 1,CRISPLD2,expressed,NA
ENSG00000103316,vAN,NA,NA,NA,NA,CRYM,expressed,NA
ENSG00000103335,vAN,Ventral forebrain,NA,NA,NA,PIEZO1,expressed,NA
ENSG00000103355,vAN,NA,NA,NA,NA,PRSS33,expressed,NA
ENSG00000103449,vAN,Ventral forebrain,NA,NA,Cluster 1,SALL1,expressed,tested
ENSG00000103460,dAN,Dorsal forebrain,NA,NA,Cluster 2,TOX3,expressed,NA
ENSG00000103490,vAN,NA,NA,NA,NA,PYCARD,expressed,NA
ENSG00000104044,vAN,NA,NA,NA,NA,OCA2,expressed,NA
ENSG00000104205,vAN,NA,NA,NA,NA,SGK3,expressed,NA
ENSG00000104267,dAN,Dorsal forebrain,NA,NA,Cluster 2,CA2,expressed,NA
ENSG00000104313,vAN,Ventral forebrain,NA,NA,NA,EYA1,expressed,NA
ENSG00000104327,dAN,Early differentiation,NA,NA,NA,CALB1,expressed,NA
ENSG00000104332,vAN,Early differentiation,NA,NA,Cluster 1,SFRP1,expressed,tested
ENSG00000104611,dAN,NA,NA,NA,NA,SH2D4A,expressed,NA
ENSG00000104689,dAN,NA,NA,NA,NA,TNFRSF10A,expressed,NA
ENSG00000104722,dAN,NA,NA,NA,NA,NEFM,expressed,NA
ENSG00000104856,dAN,NA,NA,NA,NA,RELB,expressed,NA
ENSG00000104953,vAN,Ventral forebrain,NA,NA,NA,TLE6,expressed,NA
ENSG00000104964,vAN,Ventral forebrain,NA,NA,NA,TLE5,NA,NA
ENSG00000105048,dAN,Early differentiation,NA,NA,NA,TNNT1,expressed,NA
ENSG00000105251,vAN,NA,NA,NA,Cluster 1,SHD,expressed,NA
ENSG00000105281,dAN,Dorsal forebrain,NA,NA,Cluster 2,SLC1A5,expressed,NA
ENSG00000105327,dAN,Dorsal forebrain,NA,NA,Cluster 2,BBC3,expressed,NA
ENSG00000105559,dAN,NA,NA,NA,NA,PLEKHA4,expressed,NA
ENSG00000105605,vAN,NA,NA,NA,NA,CACNG7,expressed,NA
ENSG00000105643,vAN,Ventral forebrain,NA,NA,NA,ARRDC2,expressed,NA
ENSG00000105672,dAN,NA,NA,NA,NA,ETV2,expressed,NA
ENSG00000105696,dAN,Dorsal forebrain,NA,NA,Cluster 2,TMEM59L,expressed,NA
ENSG00000105810,dAN,NA,NA,NA,NA,CDK6,expressed,NA
ENSG00000105825,dAN,NA,NA,NA,Cluster 2,TFPI2,expressed,NA
ENSG00000105976,vAN,Ventral forebrain,NA,NA,NA,MET,expressed,NA
ENSG00000105996,dAN,NA,NA,NA,NA,HOXA2,expressed,NA
ENSG00000106003,dAN,Dorsal forebrain,NA,NA,Cluster 2,LFNG,expressed,NA
ENSG00000106333,vAN,Ventral forebrain,NA,NA,NA,PCOLCE,expressed,NA
ENSG00000106366,dAN,NA,NA,NA,NA,SERPINE1,NA,NA
ENSG00000106571,dAN,Dorsal forebrain,NA,NA,Cluster 2,GLI3,expressed,NA
ENSG00000106689,vAN,NA,NA,NA,Cluster 2,LHX2,expressed,NA
ENSG00000106772,dAN,Dorsal forebrain,NA,NA,Cluster 2,PRUNE2,expressed,NA
ENSG00000106789,vAN,NA,NA,NA,NA,CORO2A,expressed,NA
ENSG00000106829,dAN,Dorsal forebrain,NA,2,NA,TLE4,expressed,NA
ENSG00000107099,dAN,Forebrain,NA,NA,NA,DOCK8,expressed,NA
ENSG00000107242,dAN,NA,NA,NA,NA,PIP5K1B,expressed,NA
ENSG00000107249,dAN,Forebrain,NA,2,NA,GLIS3,expressed,NA
ENSG00000107438,dAN,NA,NA,NA,NA,PDLIM1,expressed,NA
ENSG00000107551,vAN,NA,NA,NA,NA,RASSF4,expressed,NA
ENSG00000107611,vAN,NA,NA,2,NA,CUBN,expressed,NA
ENSG00000107731,dAN,NA,NA,NA,NA,UNC5B,expressed,NA
ENSG00000107796,dAN,NA,NA,NA,NA,ACTA2,expressed,NA
ENSG00000107831,vAN,NA,NA,NA,NA,FGF8,expressed,NA
ENSG00000107968,dAN,NA,NA,NA,NA,MAP3K8,expressed,NA
ENSG00000108231,dAN,Dorsal forebrain,NA,NA,NA,LGI1,expressed,NA
ENSG00000108515,vAN,NA,NA,NA,NA,ENO3,expressed,NA
ENSG00000108798,dAN,NA,NA,NA,NA,ABI3,expressed,NA
ENSG00000108950,vAN,NA,NA,NA,Cluster 1,FAM20A,NA,NA
ENSG00000109072,vAN,NA,NA,NA,NA,VTN,expressed,NA
ENSG00000109079,dAN,NA,NA,NA,NA,TNFAIP1,expressed,NA
ENSG00000109255,dAN,NA,NA,NA,NA,NMU,expressed,NA
ENSG00000109424,dAN,NA,NA,NA,NA,UCP1,NA,NA
ENSG00000109738,vAN,NA,NA,1,NA,GLRB,expressed,NA
ENSG00000109743,dAN,NA,NA,NA,NA,BST1,expressed,NA
ENSG00000109819,dAN,Dorsal forebrain,NA,NA,Cluster 2,PPARGC1A,expressed,NA
ENSG00000109832,vAN,NA,NA,NA,NA,DDX25,expressed,NA
ENSG00000110148,dAN,NA,NA,NA,Cluster 2,CCKBR,expressed,NA
ENSG00000110318,vAN,Ventral forebrain,NA,NA,Cluster 1,CEP126,NA,NA
ENSG00000110427,vAN,NA,NA,NA,NA,KIAA1549L,expressed,NA
ENSG00000110436,dAN,NA,NA,NA,NA,SLC1A2,expressed,NA
ENSG00000110723,dAN,NA,NA,NA,Cluster 2,EXPH5,expressed,NA
ENSG00000110852,vAN,NA,NA,NA,NA,CLEC2B,NA,NA
ENSG00000111057,dAN,NA,NA,NA,NA,KRT18,expressed,NA
ENSG00000111087,vAN,Ventral forebrain,NA,NA,Cluster 1,GLI1,expressed,NA
ENSG00000111145,dAN,Dorsal forebrain,NA,NA,NA,ELK3,expressed,NA
ENSG00000111262,dAN,NA,NA,NA,NA,KCNA1,NA,NA
ENSG00000111275,dAN,Dorsal forebrain,NA,NA,NA,ALDH2,expressed,NA
ENSG00000111432,dAN,Dorsal forebrain,NA,NA,Cluster 1,FZD10,expressed,NA
ENSG00000111679,vAN,Ventral forebrain,NA,NA,Cluster 1,PTPN6,expressed,NA
ENSG00000111834,vAN,Ventral forebrain,NA,NA,NA,RSPH4A,expressed,NA
ENSG00000111846,dAN,Early differentiation,NA,NA,Cluster 2,GCNT2,expressed,NA
ENSG00000111859,dAN,Forebrain,NA,NA,NA,NEDD9,expressed,NA
ENSG00000111907,dAN,Dorsal forebrain,NA,NA,NA,TPD52L1,expressed,NA
ENSG00000111913,dAN,Dorsal forebrain,NA,NA,NA,RIPOR2,NA,NA
ENSG00000112149,vAN,NA,NA,1,NA,CD83,expressed,NA
ENSG00000112164,vAN,NA,NA,NA,Cluster 1,GLP1R,expressed,NA
ENSG00000112175,dAN,Dorsal forebrain,NA,NA,NA,BMP5,expressed,NA
ENSG00000112182,dAN,NA,NA,NA,NA,BACH2,expressed,NA
ENSG00000112246,vAN,NA,NA,NA,NA,SIM1,expressed,NA
ENSG00000112333,dAN,Dorsal forebrain,NA,NA,NA,NR2E1,NA,NA
ENSG00000112343,dAN,NA,NA,NA,NA,TRIM38,expressed,NA
ENSG00000112394,dAN,NA,NA,NA,NA,SLC16A10,expressed,NA
ENSG00000112414,dAN,NA,NA,NA,NA,ADGRG6,NA,NA
ENSG00000112530,vAN,NA,NA,NA,NA,PACRG,expressed,NA
ENSG00000112619,vAN,NA,NA,NA,NA,PRPH2,expressed,NA
ENSG00000112773,dAN,NA,NA,NA,Cluster 2,TENT5A,NA,NA
ENSG00000112782,vAN,Ventral forebrain,NA,NA,NA,CLIC5,expressed,NA
ENSG00000112796,vAN,NA,NA,NA,NA,ENPP5,expressed,NA
ENSG00000112902,vAN,NA,NA,NA,NA,SEMA5A,expressed,NA
ENSG00000112981,vAN,Ventral forebrain,NA,NA,NA,NME5,expressed,NA
ENSG00000113070,dAN,NA,NA,NA,NA,HBEGF,expressed,NA
ENSG00000113319,vAN,Ventral forebrain,NA,NA,Cluster 1,RASGRF2,expressed,NA
ENSG00000113356,vAN,Early differentiation,NA,NA,NA,POLR3G,expressed,NA
ENSG00000113448,dAN,Dorsal forebrain,NA,NA,Cluster 2,PDE4D,expressed,NA
ENSG00000113532,dAN,NA,NA,NA,NA,ST8SIA4,expressed,NA
ENSG00000113645,dAN,NA,NA,NA,NA,WWC1,expressed,NA
ENSG00000113721,dAN,Forebrain,NA,NA,NA,PDGFRB,expressed,NA
ENSG00000113739,dAN,NA,NA,NA,NA,STC2,expressed,NA
ENSG00000113805,dAN,NA,NA,NA,NA,CNTN3,expressed,NA
ENSG00000113916,dAN,Dorsal forebrain,NA,NA,NA,BCL6,expressed,NA
